Table ID,Table Title,Table Universe,Data Product Type,Year,'1-year Published Summary Levels'!A1,'5-year Published Summary Levels'!A1
B07004DPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Asian alone population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Native Hawaiian and other Pacific Islander alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004EPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Native Hawaiian and other Pacific Islander alone population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004F,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Some other race alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004FPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Some other race alone population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004G,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR CURRENT RESIDENCE IN THE UNITED STATES,Two or more races population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004GPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR CURRENT RESIDENCE IN PUERTO RICO,Two or more races population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004H,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES","White alone, not Hispanic or Latino population 1 year and over in the United States",Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004HPR,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN PUERTO RICO","White alone, not Hispanic or Latino population 1 year and over in Puerto Rico",Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004I,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES,Hispanic or Latino population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004IPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN PUERTO RICO,Hispanic or Latino population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07007,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07007PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07008,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 15 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07008PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Population 15 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07009,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 25 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07009PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN PUERTO RICO,Population 25 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07010,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 15 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07010PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN PUERTO RICO,Population 15 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07011,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 15 years and over in the United States with income,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07011PR,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Population 15 years and over in Puerto Rico with income,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07012,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 1 year and over in the United States for whom poverty status is determined,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07012PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN PUERTO RICO,Population 1 year and over in Puerto Rico for whom poverty status is determined,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07013,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 1 year and over in households in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07013PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN PUERTO RICO,Population 1 year and over in households in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07101,MOVERS BETWEEN REGIONS IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,"1,5",United States (010),United States (010)
B07201,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Population 1 year and over living in a Metropolitan Statistical Area in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,Excludes Place/Remainder (070); excludes Puerto Rico geographies
B07201PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Population 1 year and over living in a Metropolitan Statistical Area in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,Excludes Place/Remainder (070); Puerto Rico geographies only
B07202,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Population 1 year and over living in a Micropolitan Statistical Area in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,Excludes Place/Remainder (070); excludes Puerto Rico geographies
B07202PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Population 1 year and over living in a Micropolitan Statistical Area in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,Excludes Place/Remainder (070); Puerto Rico geographies only
B07203,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Population 1 year and over not living in a Metropolitan or Micropolitan Statistical Area in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,Excludes Place/Remainder (070); excludes Puerto Rico geographies
B07203PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Population 1 year and over not living in a Metropolitan or Micropolitan Statistical Area in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,Excludes Place/Remainder (070); Puerto Rico geographies only
B07204,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN THE UNITED STATES",Population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07204PR,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN PUERTO RICO",Population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07401,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,"1,5",Residence 1 Year Ago geographies; excludes Puerto Rico geographies,Residence 1 Year Ago geographies; excludes Puerto Rico geographies
B07401PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Population 1 year and over,Detailed Table,"1,5",Residence 1 Year Ago geographies; Puerto Rico geographies only,Residence 1 Year Ago geographies; Puerto Rico geographies only
B07402,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,"1,5",Residence 1 Year Ago geographies; excludes Puerto Rico geographies,Residence 1 Year Ago geographies; excludes Puerto Rico geographies
B07402PR,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,"Residence 1 year ago - County,State - Puerto Rico",Detailed Table,"1,5",Residence 1 Year Ago geographies; Puerto Rico geographies only,Residence 1 Year Ago geographies; Puerto Rico geographies only
B07403,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,"1,5",Residence 1 Year Ago geographies; excludes Puerto Rico geographies,Residence 1 Year Ago geographies; excludes Puerto Rico geographies
B07403PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Population 1 year and over,Detailed Table,"1,5",Residence 1 Year Ago geographies; Puerto Rico geographies only,Residence 1 Year Ago geographies; Puerto Rico geographies only
B07404A,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,White alone population 1 year and over in the United States,Detailed Table,"1,5",Residence 1 Year Ago geographies; excludes Puerto Rico geographies,Residence 1 Year Ago geographies; excludes Puerto Rico geographies
B07404APR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,White alone population 1 year and over,Detailed Table,"1,5",Residence 1 Year Ago geographies; Puerto Rico geographies only,Residence 1 Year Ago geographies; Puerto Rico geographies only
B07404B,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Black or African American alone population 1 year and over in the United States,Detailed Table,"1,5",Residence 1 Year Ago geographies; excludes Puerto Rico geographies,Residence 1 Year Ago geographies; excludes Puerto Rico geographies
B07404BPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Black or African American alone population 1 year and over,Detailed Table,"1,5",Residence 1 Year Ago geographies; Puerto Rico geographies only,Residence 1 Year Ago geographies; Puerto Rico geographies only
B07404C,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,American Indian and Alaskan Native alone population 1 year and over in the United States,Detailed Table,"1,5",Residence 1 Year Ago geographies; excludes Puerto Rico geographies,Residence 1 Year Ago geographies; excludes Puerto Rico geographies
B07404CPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,American Indian and Alaska Native alone population 1 year and over,Detailed Table,"1,5",Residence 1 Year Ago geographies; Puerto Rico geographies only,Residence 1 Year Ago geographies; Puerto Rico geographies only
B07404D,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Asian alone population 1 year and over in the United States,Detailed Table,"1,5",Residence 1 Year Ago geographies; excludes Puerto Rico geographies,Residence 1 Year Ago geographies; excludes Puerto Rico geographies
B07404DPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Asian alone population 1 year and over,Detailed Table,"1,5",Residence 1 Year Ago geographies; Puerto Rico geographies only,Residence 1 Year Ago geographies; Puerto Rico geographies only
B07404E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Native Hawaiian and other Pacific Islander alone population 1 year and over in the United States,Detailed Table,"1,5",Residence 1 Year Ago geographies; excludes Puerto Rico geographies,Residence 1 Year Ago geographies; excludes Puerto Rico geographies
B07404EPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Native Hawaiian and Other Pacific Islander alone population 1 year and over,Detailed Table,"1,5",Residence 1 Year Ago geographies; Puerto Rico geographies only,Residence 1 Year Ago geographies; Puerto Rico geographies only
